Year;Ref;Goals;Home;Attack;Defense
2003;19;3;Away;Corinthians-SP;Figueirense-SC
2003;20;2;Home;Sao Paulo-SP;Cruzeiro-MG
2003;20;4;Away;Cruzeiro-MG;Sao Paulo-SP
2003;21;1;Home;Paysandu-PA;Vitoria-BA
2003;21;2;Away;Vitoria-BA;Paysandu-PA
2003;22;1;Home;Ponte Preta-SP;Juventude-RS
2003;22;0;Away;Juventude-RS;Ponte Preta-SP
2003;23;3;Home;Parana-PR;Atletico-PR
2003;23;0;Away;Atletico-PR;Parana-PR
2003;24;3;Home;Sao Caetano-SP;Criciuma-SC
2003;24;2;Away;Criciuma-SC;Sao Caetano-SP
2003;25;2;Home;Internacional-RS;Bahia-BA
2003;25;0;Away;Bahia-BA;Internacional-RS
2003;26;3;Home;Cruzeiro-MG;Ponte Preta-SP
2003;26;0;Away;Ponte Preta-SP;Cruzeiro-MG
2003;27;1;Home;Atletico-PR;Atletico-MG
2003;27;2;Away;Atletico-MG;Atletico-PR
2003;28;2;Home;Santos-SP;Figueirense-SC
2003;28;0;Away;Figueirense-SC;Santos-SP
2003;29;2;Home;Vitoria-BA;Vasco-RJ
2003;29;1;Away;Vasco-RJ;Vitoria-BA
2003;30;4;Home;Flamengo-RJ;Fluminense-RJ
2003;30;1;Away;Fluminense-RJ;Flamengo-RJ
2003;31;6;Home;Corinthians-SP;Paysandu-PA
2003;31;1;Away;Paysandu-PA;Corinthians-SP
2003;32;1;Home;Criciuma-SC;Sao Paulo-SP
2003;32;1;Away;Sao Paulo-SP;Criciuma-SC
2003;33;1;Home;Fortaleza-CE;Sao Caetano-SP
2003;33;1;Away;Sao Caetano-SP;Fortaleza-CE
2003;34;2;Home;Juventude-RS;Coritiba-PR
2003;34;1;Away;Coritiba-PR;Juventude-RS
2003;35;2;Home;Guarani-SP;Parana-PR
2003;35;0;Away;Parana-PR;Guarani-SP
2003;36;1;Home;Goias-GO;Gremio-RS
2003;36;1;Away;Gremio-RS;Goias-GO
2003;37;1;Home;Sao Caetano-SP;Flamengo-RJ
2003;37;1;Away;Flamengo-RJ;Sao Caetano-SP
2003;38;2;Home;Vasco-RJ;Corinthians-SP
2003;38;2;Away;Corinthians-SP;Vasco-RJ
2003;39;3;Home;Bahia-BA;Juventude-RS
2003;39;1;Away;Juventude-RS;Bahia-BA
2003;40;2;Home;Paysandu-PA;Santos-SP
2003;40;1;Away;Santos-SP;Paysandu-PA
2003;41;2;Home;Gremio-RS;Vitoria-BA
2003;41;1;Away;Vitoria-BA;Gremio-RS
2003;42;3;Home;Coritiba-PR;Cruzeiro-MG
2003;42;4;Away;Cruzeiro-MG;Coritiba-PR
2003;43;3;Home;Atletico-MG;Guarani-SP
2003;43;2;Away;Guarani-SP;Atletico-MG
2003;44;1;Home;Figueirense-SC;Atletico-PR
2003;44;1;Away;Atletico-PR;Figueirense-SC
2003;45;1;Home;Ponte Preta-SP;Criciuma-SC
2003;45;1;Away;Criciuma-SC;Ponte Preta-SP
2003;46;3;Home;Fluminense-RJ;Internacional-RS
2003;46;1;Away;Internacional-RS;Fluminense-RJ
2003;47;3;Home;Parana-PR;Goias-GO
2003;47;1;Away;Goias-GO;Parana-PR
2003;48;3;Home;Sao Paulo-SP;Fortaleza-CE
2003;48;1;Away;Fortaleza-CE;Sao Paulo-SP
2003;49;0;Home;Flamengo-RJ;Santos-SP
2003;49;2;Away;Santos-SP;Flamengo-RJ
2003;50;2;Home;Bahia-BA;Atletico-MG
2003;50;4;Away;Atletico-MG;Bahia-BA
2003;51;1;Home;Sao Caetano-SP;Gremio-RS
2003;51;1;Away;Gremio-RS;Sao Caetano-SP
2003;52;3;Home;Sao Paulo-SP;Vasco-RJ
2003;52;1;Away;Vasco-RJ;Sao Paulo-SP
2003;53;0;Home;Fluminense-RJ;Parana-PR
2003;53;0;Away;Parana-PR;Fluminense-RJ
2003;54;4;Home;Cruzeiro-MG;Goias-GO
2003;54;1;Away;Goias-GO;Cruzeiro-MG
2003;55;2;Home;Internacional-RS;Corinthians-SP
2003;55;1;Away;Corinthians-SP;Internacional-RS
2003;56;4;Home;Ponte Preta-SP;Paysandu-PA
2003;56;4;Away;Paysandu-PA;Ponte Preta-SP
2003;57;1;Home;Fortaleza-CE;Atletico-PR
2003;57;0;Away;Atletico-PR;Fortaleza-CE
2003;58;1;Home;Juventude-RS;Vitoria-BA
2003;58;1;Away;Vitoria-BA;Juventude-RS
2003;59;1;Home;Coritiba-PR;Figueirense-SC
2003;59;0;Away;Figueirense-SC;Coritiba-PR
2003;60;1;Home;Criciuma-SC;Guarani-SP
2003;60;0;Away;Guarani-SP;Criciuma-SC
2003;61;0;Home;Gremio-RS;Fluminense-RJ
2003;61;1;Away;Fluminense-RJ;Gremio-RS
2003;62;3;Home;Parana-PR;Bahia-BA
2003;62;1;Away;Bahia-BA;Parana-PR
2003;63;1;Home;Guarani-SP;Cruzeiro-MG
2003;63;1;Away;Cruzeiro-MG;Guarani-SP
2003;64;0;Home;Vitoria-BA;Internacional-RS
2003;64;3;Away;Internacional-RS;Vitoria-BA
2003;65;1;Home;Corinthians-SP;Flamengo-RJ
2003;65;1;Away;Flamengo-RJ;Corinthians-SP
2003;66;1;Home;Vasco-RJ;Sao Caetano-SP
2003;66;0;Away;Sao Caetano-SP;Vasco-RJ
2003;67;7;Home;Goias-GO;Juventude-RS
2003;67;0;Away;Juventude-RS;Goias-GO
2003;68;5;Home;Paysandu-PA;Sao Paulo-SP
2003;68;2;Away;Sao Paulo-SP;Paysandu-PA
2003;69;4;Home;Santos-SP;Fortaleza-CE
2003;69;0;Away;Fortaleza-CE;Santos-SP
2003;70;1;Home;Atletico-MG;Coritiba-PR
2003;70;2;Away;Coritiba-PR;Atletico-MG
2003;71;5;Home;Atletico-PR;Criciuma-SC
2003;71;2;Away;Criciuma-SC;Atletico-PR
2003;72;0;Home;Figueirense-SC;Ponte Preta-SP
2003;72;0;Away;Ponte Preta-SP;Figueirense-SC
2003;73;2;Home;Flamengo-RJ;Vitoria-BA
2003;73;1;Away;Vitoria-BA;Flamengo-RJ
2003;74;2;Home;Bahia-BA;Gremio-RS
2003;74;1;Away;Gremio-RS;Bahia-BA
2003;75;5;Home;Cruzeiro-MG;Atletico-PR
2003;75;2;Away;Atletico-PR;Cruzeiro-MG
2003;76;0;Home;Fluminense-RJ;Vasco-RJ
2003;76;0;Away;Vasco-RJ;Fluminense-RJ
2003;77;1;Home;Fortaleza-CE;Corinthians-SP
2003;77;2;Away;Corinthians-SP;Fortaleza-CE
2003;78;3;Home;Sao Paulo-SP;Figueirense-SC
2003;78;2;Away;Figueirense-SC;Sao Paulo-SP
2003;79;2;Home;Sao Caetano-SP;Paysandu-PA
2003;79;0;Away;Paysandu-PA;Sao Caetano-SP
2003;80;2;Home;Internacional-RS;Goias-GO
2003;80;1;Away;Goias-GO;Internacional-RS
2003;81;2;Home;Ponte Preta-SP;Atletico-MG
2003;81;1;Away;Atletico-MG;Ponte Preta-SP
2003;82;1;Home;Juventude-RS;Guarani-SP
2003;82;1;Away;Guarani-SP;Juventude-RS
2003;83;2;Home;Coritiba-PR;Parana-PR
2003;83;1;Away;Parana-PR;Coritiba-PR
2003;84;1;Home;Criciuma-SC;Santos-SP
2003;84;3;Away;Santos-SP;Criciuma-SC
2003;85;1;Home;Goias-GO;Flamengo-RJ
2003;85;1;Away;Flamengo-RJ;Goias-GO
2003;86;3;Home;Corinthians-SP;Criciuma-SC
2003;86;0;Away;Criciuma-SC;Corinthians-SP
2003;87;0;Home;Santos-SP;Cruzeiro-MG
2003;87;2;Away;Cruzeiro-MG;Santos-SP
2003;88;3;Home;Parana-PR;Ponte Preta-SP
2003;88;2;Away;Ponte Preta-SP;Parana-PR
2003;89;1;Home;Vasco-RJ;Bahia-BA
2003;89;1;Away;Bahia-BA;Vasco-RJ
2003;90;2;Home;Paysandu-PA;Fluminense-RJ
2003;90;2;Away;Fluminense-RJ;Paysandu-PA
2003;91;2;Home;Atletico-MG;Sao Paulo-SP
2003;91;2;Away;Sao Paulo-SP;Atletico-MG
2003;92;2;Home;Vitoria-BA;Fortaleza-CE
2003;92;1;Away;Fortaleza-CE;Vitoria-BA
2003;93;1;Home;Gremio-RS;Coritiba-PR
2003;93;0;Away;Coritiba-PR;Gremio-RS
2003;94;3;Home;Guarani-SP;Internacional-RS
2003;94;0;Away;Internacional-RS;Guarani-SP
2003;95;2;Home;Atletico-PR;Juventude-RS
2003;95;0;Away;Juventude-RS;Atletico-PR
2003;96;3;Home;Figueirense-SC;Sao Caetano-SP
2003;96;0;Away;Sao Caetano-SP;Figueirense-SC
2003;97;3;Home;Fluminense-RJ;Figueirense-SC
2003;97;0;Away;Figueirense-SC;Fluminense-RJ
2003;98;2;Home;Sao Paulo-SP;Parana-PR
2003;98;0;Away;Parana-PR;Sao Paulo-SP
2003;99;2;Home;Bahia-BA;Paysandu-PA
2003;99;0;Away;Paysandu-PA;Bahia-BA
2003;100;2;Home;Sao Caetano-SP;Atletico-MG
2003;100;0;Away;Atletico-MG;Sao Caetano-SP
2003;101;1;Home;Flamengo-RJ;Guarani-SP
2003;101;1;Away;Guarani-SP;Flamengo-RJ
2003;102;1;Home;Coritiba-PR;Vasco-RJ
2003;102;1;Away;Vasco-RJ;Coritiba-PR
2003;103;1;Home;Fortaleza-CE;Goias-GO
2003;103;0;Away;Goias-GO;Fortaleza-CE
2003;104;1;Home;Cruzeiro-MG;Corinthians-SP
2003;104;1;Away;Corinthians-SP;Cruzeiro-MG
2003;105;2;Home;Ponte Preta-SP;Gremio-RS
2003;105;1;Away;Gremio-RS;Ponte Preta-SP
2003;106;1;Home;Criciuma-SC;Vitoria-BA
2003;106;1;Away;Vitoria-BA;Criciuma-SC
2003;107;1;Home;Internacional-RS;Atletico-PR
2003;107;1;Away;Atletico-PR;Internacional-RS
2003;108;1;Home;Juventude-RS;Santos-SP
2003;108;1;Away;Santos-SP;Juventude-RS
2003;109;3;Home;Atletico-MG;Fluminense-RJ
2003;109;0;Away;Fluminense-RJ;Atletico-MG
2003;110;3;Home;Corinthians-SP;Juventude-RS
2003;110;0;Away;Juventude-RS;Corinthians-SP
2003;111;1;Home;Vasco-RJ;Ponte Preta-SP
2003;111;0;Away;Ponte Preta-SP;Vasco-RJ
2003;112;1;Home;Parana-PR;Sao Caetano-SP
2003;112;1;Away;Sao Caetano-SP;Parana-PR
2003;113;4;Home;Atletico-PR;Flamengo-RJ
2003;113;1;Away;Flamengo-RJ;Atletico-PR
2003;114;1;Home;Paysandu-PA;Coritiba-PR
2003;114;3;Away;Coritiba-PR;Paysandu-PA
2003;115;0;Home;Goias-GO;Criciuma-SC
2003;115;2;Away;Criciuma-SC;Goias-GO
2003;116;1;Home;Gremio-RS;Sao Paulo-SP
2003;116;2;Away;Sao Paulo-SP;Gremio-RS
2003;117;2;Home;Guarani-SP;Fortaleza-CE
2003;117;1;Away;Fortaleza-CE;Guarani-SP
2003;118;1;Home;Figueirense-SC;Bahia-BA
2003;118;0;Away;Bahia-BA;Figueirense-SC
2003;119;2;Home;Vitoria-BA;Cruzeiro-MG
2003;119;1;Away;Cruzeiro-MG;Vitoria-BA
2003;120;2;Home;Santos-SP;Internacional-RS
2003;120;1;Away;Internacional-RS;Santos-SP
2003;121;2;Home;Fluminense-RJ;Atletico-PR
2003;121;1;Away;Atletico-PR;Fluminense-RJ
2003;122;2;Home;Internacional-RS;Paysandu-PA
2003;122;1;Away;Paysandu-PA;Internacional-RS
2003;123;2;Home;Cruzeiro-MG;Criciuma-SC
2003;123;0;Away;Criciuma-SC;Cruzeiro-MG
2003;124;3;Home;Coritiba-PR;Guarani-SP
2003;124;2;Away;Guarani-SP;Coritiba-PR
2003;125;0;Home;Ponte Preta-SP;Sao Caetano-SP
2003;125;0;Away;Sao Caetano-SP;Ponte Preta-SP
2003;126;6;Home;Parana-PR;Flamengo-RJ
2003;126;2;Away;Flamengo-RJ;Parana-PR
2003;127;2;Home;Vasco-RJ;Atletico-MG
2003;127;2;Away;Atletico-MG;Vasco-RJ
2003;128;2;Home;Bahia-BA;Goias-GO
2003;128;1;Away;Goias-GO;Bahia-BA
2003;129;4;Home;Corinthians-SP;Vitoria-BA
2003;129;0;Away;Vitoria-BA;Corinthians-SP
2003;130;3;Home;Santos-SP;Sao Paulo-SP
2003;130;2;Away;Sao Paulo-SP;Santos-SP
2003;131;3;Home;Fortaleza-CE;Juventude-RS
2003;131;1;Away;Juventude-RS;Fortaleza-CE
2003;132;2;Home;Figueirense-SC;Gremio-RS
2003;132;1;Away;Gremio-RS;Figueirense-SC
2003;133;2;Home;Vitoria-BA;Fluminense-RJ
2003;133;1;Away;Fluminense-RJ;Vitoria-BA
2003;134;1;Home;Guarani-SP;Santos-SP
2003;134;2;Away;Santos-SP;Guarani-SP
2003;135;3;Home;Gremio-RS;Fortaleza-CE
2003;135;1;Away;Fortaleza-CE;Gremio-RS
2003;136;1;Home;Atletico-MG;Figueirense-SC
2003;136;1;Away;Figueirense-SC;Atletico-MG
2003;137;1;Home;Criciuma-SC;Internacional-RS
2003;137;0;Away;Internacional-RS;Criciuma-SC
2003;138;3;Home;Flamengo-RJ;Cruzeiro-MG
2003;138;0;Away;Cruzeiro-MG;Flamengo-RJ
2003;139;0;Home;Juventude-RS;Vasco-RJ
2003;139;0;Away;Vasco-RJ;Juventude-RS
2003;140;2;Home;Sao Paulo-SP;Bahia-BA
2003;140;2;Away;Bahia-BA;Sao Paulo-SP
2003;141;1;Home;Goias-GO;Coritiba-PR
2003;141;2;Away;Coritiba-PR;Goias-GO
2003;142;1;Home;Sao Caetano-SP;Corinthians-SP
2003;142;0;Away;Corinthians-SP;Sao Caetano-SP
2003;143;3;Home;Paysandu-PA;Parana-PR
2003;143;0;Away;Parana-PR;Paysandu-PA
2003;144;4;Home;Atletico-PR;Ponte Preta-SP
2003;144;2;Away;Ponte Preta-SP;Atletico-PR
2003;145;2;Home;Bahia-BA;Vitoria-BA
2003;145;1;Away;Vitoria-BA;Bahia-BA
2003;146;2;Home;Coritiba-PR;Atletico-PR
2003;146;0;Away;Atletico-PR;Coritiba-PR
2003;147;2;Home;Fluminense-RJ;Goias-GO
2003;147;3;Away;Goias-GO;Fluminense-RJ
2003;148;1;Home;Vasco-RJ;Flamengo-RJ
2003;148;2;Away;Flamengo-RJ;Vasco-RJ
2003;149;1;Home;Corinthians-SP;Sao Paulo-SP
2003;149;2;Away;Sao Paulo-SP;Corinthians-SP
2003;150;1;Home;Fortaleza-CE;Paysandu-PA
2003;150;2;Away;Paysandu-PA;Fortaleza-CE
2003;151;1;Home;Parana-PR;Juventude-RS
2003;151;2;Away;Juventude-RS;Parana-PR
2003;152;0;Home;Cruzeiro-MG;Atletico-MG
2003;152;0;Away;Atletico-MG;Cruzeiro-MG
2003;153;0;Home;Gremio-RS;Internacional-RS
2003;153;0;Away;Internacional-RS;Gremio-RS
2003;154;0;Home;Ponte Preta-SP;Guarani-SP
2003;154;2;Away;Guarani-SP;Ponte Preta-SP
2003;155;0;Home;Santos-SP;Sao Caetano-SP
2003;155;1;Away;Sao Caetano-SP;Santos-SP
2003;156;1;Home;Criciuma-SC;Figueirense-SC
2003;156;0;Away;Figueirense-SC;Criciuma-SC
2003;157;2;Home;Vasco-RJ;Criciuma-SC
2003;157;0;Away;Criciuma-SC;Vasco-RJ
2003;158;3;Home;Atletico-MG;Gremio-RS
2003;158;2;Away;Gremio-RS;Atletico-MG
2003;159;1;Home;Sao Paulo-SP;Goias-GO
2003;159;0;Away;Goias-GO;Sao Paulo-SP
2003;160;2;Home;Paysandu-PA;Flamengo-RJ
2003;160;2;Away;Flamengo-RJ;Paysandu-PA
2003;161;5;Home;Fluminense-RJ;Guarani-SP
2003;161;2;Away;Guarani-SP;Fluminense-RJ
2003;162;3;Home;Ponte Preta-SP;Corinthians-SP
2003;162;3;Away;Corinthians-SP;Ponte Preta-SP
2003;163;2;Home;Figueirense-SC;Fortaleza-CE
2003;163;2;Away;Fortaleza-CE;Figueirense-SC
2003;164;2;Home;Bahia-BA;Coritiba-PR
2003;164;2;Away;Coritiba-PR;Bahia-BA
2003;165;2;Home;Sao Caetano-SP;Vitoria-BA
2003;165;1;Away;Vitoria-BA;Sao Caetano-SP
2003;166;0;Home;Juventude-RS;Cruzeiro-MG
2003;166;1;Away;Cruzeiro-MG;Juventude-RS
2003;167;2;Home;Internacional-RS;Parana-PR
2003;167;1;Away;Parana-PR;Internacional-RS
2003;168;0;Home;Atletico-PR;Santos-SP
2003;168;2;Away;Santos-SP;Atletico-PR
2003;169;0;Home;Flamengo-RJ;Figueirense-SC
2003;169;2;Away;Figueirense-SC;Flamengo-RJ
2003;170;0;Home;Fortaleza-CE;Vasco-RJ
2003;170;1;Away;Vasco-RJ;Fortaleza-CE
2003;171;2;Home;Coritiba-PR;Sao Caetano-SP
2003;171;0;Away;Sao Caetano-SP;Coritiba-PR
2003;172;1;Home;Gremio-RS;Juventude-RS
2003;172;4;Away;Juventude-RS;Gremio-RS
2003;173;4;Home;Santos-SP;Bahia-BA
2003;173;0;Away;Bahia-BA;Santos-SP
2003;174;1;Home;Corinthians-SP;Fluminense-RJ
2003;174;0;Away;Fluminense-RJ;Corinthians-SP
2003;175;0;Home;Goias-GO;Ponte Preta-SP
2003;175;0;Away;Ponte Preta-SP;Goias-GO
2003;176;0;Home;Guarani-SP;Sao Paulo-SP
2003;176;1;Away;Sao Paulo-SP;Guarani-SP
2003;177;2;Home;Criciuma-SC;Paysandu-PA
2003;177;0;Away;Paysandu-PA;Criciuma-SC
2003;178;1;Home;Vitoria-BA;Atletico-PR
2003;178;0;Away;Atletico-PR;Vitoria-BA
2003;179;1;Home;Parana-PR;Atletico-MG
2003;179;1;Away;Atletico-MG;Parana-PR
2003;180;3;Home;Cruzeiro-MG;Internacional-RS
2003;180;2;Away;Internacional-RS;Cruzeiro-MG
2003;181;1;Home;Vasco-RJ;Parana-PR
2003;181;4;Away;Parana-PR;Vasco-RJ
2003;182;1;Home;Sao Paulo-SP;Sao Caetano-SP
2003;182;1;Away;Sao Caetano-SP;Sao Paulo-SP
2003;183;1;Home;Juventude-RS;Internacional-RS
2003;183;1;Away;Internacional-RS;Juventude-RS
2003;184;2;Home;Gremio-RS;Flamengo-RJ
2003;184;0;Away;Flamengo-RJ;Gremio-RS
2003;185;1;Home;Fluminense-RJ;Bahia-BA
2003;185;0;Away;Bahia-BA;Fluminense-RJ
2003;186;3;Home;Guarani-SP;Goias-GO
2003;186;2;Away;Goias-GO;Guarani-SP
2003;187;3;Home;Atletico-PR;Corinthians-SP
2003;187;1;Away;Corinthians-SP;Atletico-PR
2003;188;3;Home;Atletico-MG;Paysandu-PA
2003;188;2;Away;Paysandu-PA;Atletico-MG
2003;189;0;Home;Fortaleza-CE;Criciuma-SC
2003;189;1;Away;Criciuma-SC;Fortaleza-CE
2003;190;1;Home;Vitoria-BA;Ponte Preta-SP
2003;190;4;Away;Ponte Preta-SP;Vitoria-BA
2003;191;1;Home;Figueirense-SC;Cruzeiro-MG
2003;191;0;Away;Cruzeiro-MG;Figueirense-SC
2003;192;3;Home;Santos-SP;Coritiba-PR
2003;192;1;Away;Coritiba-PR;Santos-SP
2003;193;2;Home;Cruzeiro-MG;Fortaleza-CE
2003;193;0;Away;Fortaleza-CE;Cruzeiro-MG
2003;194;2;Home;Bahia-BA;Guarani-SP
2003;194;0;Away;Guarani-SP;Bahia-BA
2003;195;0;Home;Sao Caetano-SP;Atletico-PR
2003;195;0;Away;Atletico-PR;Sao Caetano-SP
2003;196;2;Home;Flamengo-RJ;Juventude-RS
2003;196;1;Away;Juventude-RS;Flamengo-RJ
2003;197;3;Home;Parana-PR;Gremio-RS
2003;197;1;Away;Gremio-RS;Parana-PR
2003;198;2;Home;Internacional-RS;Vasco-RJ
2003;198;1;Away;Vasco-RJ;Internacional-RS
2003;199;1;Home;Goias-GO;Vitoria-BA
2003;199;1;Away;Vitoria-BA;Goias-GO
2003;200;0;Home;Coritiba-PR;Sao Paulo-SP
2003;200;2;Away;Sao Paulo-SP;Coritiba-PR
2003;201;1;Home;Paysandu-PA;Figueirense-SC
2003;201;0;Away;Figueirense-SC;Paysandu-PA
2003;202;1;Home;Corinthians-SP;Santos-SP
2003;202;1;Away;Santos-SP;Corinthians-SP
2003;203;3;Home;Ponte Preta-SP;Fluminense-RJ
2003;203;0;Away;Fluminense-RJ;Ponte Preta-SP
2003;204;1;Home;Criciuma-SC;Atletico-MG
2003;204;0;Away;Atletico-MG;Criciuma-SC
2003;205;0;Home;Atletico-PR;Goias-GO
2003;205;0;Away;Goias-GO;Atletico-PR
2003;206;0;Home;Vasco-RJ;Paysandu-PA
2003;206;2;Away;Paysandu-PA;Vasco-RJ
2003;207;3;Home;Fortaleza-CE;Internacional-RS
2003;207;0;Away;Internacional-RS;Fortaleza-CE
2003;208;0;Home;Gremio-RS;Cruzeiro-MG
2003;208;1;Away;Cruzeiro-MG;Gremio-RS
2003;209;1;Home;Atletico-MG;Flamengo-RJ
2003;209;0;Away;Flamengo-RJ;Atletico-MG
2003;210;1;Home;Ponte Preta-SP;Bahia-BA
2003;210;0;Away;Bahia-BA;Ponte Preta-SP
2003;211;2;Home;Vitoria-BA;Santos-SP
2003;211;0;Away;Santos-SP;Vitoria-BA
2003;212;0;Home;Corinthians-SP;Coritiba-PR
2003;212;1;Away;Coritiba-PR;Corinthians-SP
2003;213;3;Home;Criciuma-SC;Juventude-RS
2003;213;0;Away;Juventude-RS;Criciuma-SC
2003;214;4;Home;Figueirense-SC;Parana-PR
2003;214;2;Away;Parana-PR;Figueirense-SC
2003;215;0;Home;Sao Caetano-SP;Guarani-SP
2003;215;2;Away;Guarani-SP;Sao Caetano-SP
2003;216;1;Home;Fluminense-RJ;Sao Paulo-SP
2003;216;3;Away;Sao Paulo-SP;Fluminense-RJ
2003;217;2;Home;Parana-PR;Criciuma-SC
2003;217;1;Away;Criciuma-SC;Parana-PR
2003;218;2;Home;Santos-SP;Ponte Preta-SP
2003;218;1;Away;Ponte Preta-SP;Santos-SP
2003;219;0;Home;Flamengo-RJ;Fortaleza-CE
2003;219;2;Away;Fortaleza-CE;Flamengo-RJ
2003;220;4;Home;Cruzeiro-MG;Vasco-RJ
2003;220;1;Away;Vasco-RJ;Cruzeiro-MG
2003;221;1;Home;Goias-GO;Corinthians-SP
2003;221;1;Away;Corinthians-SP;Goias-GO
2003;222;1;Home;Paysandu-PA;Gremio-RS
2003;222;1;Away;Gremio-RS;Paysandu-PA
2003;223;0;Home;Bahia-BA;Sao Caetano-SP
2003;223;0;Away;Sao Caetano-SP;Bahia-BA
2003;224;2;Home;Guarani-SP;Vitoria-BA
2003;224;2;Away;Vitoria-BA;Guarani-SP
2003;225;3;Home;Internacional-RS;Atletico-MG
2003;225;3;Away;Atletico-MG;Internacional-RS
2003;226;1;Home;Juventude-RS;Figueirense-SC
2003;226;2;Away;Figueirense-SC;Juventude-RS
2003;227;3;Home;Coritiba-PR;Fluminense-RJ
2003;227;0;Away;Fluminense-RJ;Coritiba-PR
2003;228;2;Home;Sao Paulo-SP;Atletico-PR
2003;228;0;Away;Atletico-PR;Sao Paulo-SP
2003;229;2;Home;Juventude-RS;Paysandu-PA
2003;229;0;Away;Paysandu-PA;Juventude-RS
2003;230;3;Home;Internacional-RS;Figueirense-SC
2003;230;0;Away;Figueirense-SC;Internacional-RS
2003;231;1;Home;Fluminense-RJ;Santos-SP
2003;231;4;Away;Santos-SP;Fluminense-RJ
2003;232;1;Home;Corinthians-SP;Guarani-SP
2003;232;0;Away;Guarani-SP;Corinthians-SP
2003;233;4;Home;Fortaleza-CE;Atletico-MG
2003;233;3;Away;Atletico-MG;Fortaleza-CE
2003;234;2;Home;Atletico-PR;Bahia-BA
2003;234;1;Away;Bahia-BA;Atletico-PR
2003;235;5;Home;Cruzeiro-MG;Parana-PR
2003;235;1;Away;Parana-PR;Cruzeiro-MG
2003;236;2;Home;Vasco-RJ;Gremio-RS
2003;236;0;Away;Gremio-RS;Vasco-RJ
2003;237;1;Home;Ponte Preta-SP;Coritiba-PR
2003;237;1;Away;Coritiba-PR;Ponte Preta-SP
2003;238;4;Home;Criciuma-SC;Flamengo-RJ
2003;238;3;Away;Flamengo-RJ;Criciuma-SC
2003;239;2;Home;Goias-GO;Sao Caetano-SP
2003;239;1;Away;Sao Caetano-SP;Goias-GO
2003;240;0;Home;Vitoria-BA;Sao Paulo-SP
2003;240;2;Away;Sao Paulo-SP;Vitoria-BA
2003;241;0;Home;Figueirense-SC;Vasco-RJ
2003;241;0;Away;Vasco-RJ;Figueirense-SC
2003;242;2;Home;Atletico-MG;Juventude-RS
2003;242;1;Away;Juventude-RS;Atletico-MG
2003;243;1;Home;Guarani-SP;Atletico-PR
2003;243;0;Away;Atletico-PR;Guarani-SP
2003;244;3;Home;Santos-SP;Goias-GO
2003;244;3;Away;Goias-GO;Santos-SP
2003;245;0;Home;Bahia-BA;Corinthians-SP
2003;245;0;Away;Corinthians-SP;Bahia-BA
2003;246;4;Home;Parana-PR;Fortaleza-CE
2003;246;1;Away;Fortaleza-CE;Parana-PR
2003;247;3;Home;Paysandu-PA;Cruzeiro-MG
2003;247;0;Away;Cruzeiro-MG;Paysandu-PA
2003;248;1;Home;Coritiba-PR;Vitoria-BA
2003;248;1;Away;Vitoria-BA;Coritiba-PR
2003;249;1;Home;Sao Paulo-SP;Ponte Preta-SP
2003;249;2;Away;Ponte Preta-SP;Sao Paulo-SP
2003;250;2;Home;Flamengo-RJ;Internacional-RS
2003;250;1;Away;Internacional-RS;Flamengo-RJ
2003;251;2;Home;Sao Caetano-SP;Fluminense-RJ
